Data Type,Item Name,From Date,To Date
NIC-2008,Manufacture of clay building materials,2008-2009,2023-2024
NIC-2008,"Manufacture of cocoa, chocolate and sugar confectionery",2008-2009,2023-2024
NIC-2008,Manufacture of coke oven products,2008-2009,2023-2024
NIC-2008,Manufacture of communication equipment,2008-2009,2023-2024
NIC-2008,Manufacture of computers and peripheral equipment,2008-2009,2023-2024
NIC-2008,Manufacture of consumer electronics,2008-2009,2023-2024
NIC-2008,"Manufacture of cordage, rope, twine and netting",2008-2009,2023-2024
NIC-2008,Manufacture of corrugated paper and paperboard and containers of paper and paperboard,2008-2009,2023-2024
NIC-2008,"Manufacture of cutlery, hand tools and general hardware",2008-2009,2023-2024
NIC-2008,Manufacture of dairy products,2008-2009,2023-2024
NIC-2008,Manufacture of domestic appliances,2008-2009,2023-2024
NIC-2008,Manufacture of electric lighting equipment,2008-2009,2023-2024
NIC-2008,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2008-2009,2023-2024
NIC-2008,Manufacture of electronic components,2008-2009,2023-2024
NIC-2008,Manufacture of fertilizers and nitrogen compounds,2008-2009,2023-2024
NIC-2008,Manufacture of fibre optic cables for data transmission or live transmission of images,2008-2009,2023-2024
NIC-2008,Manufacture of fluid power equipment,2008-2009,2023-2024
NIC-2008,Manufacture of footwear,2008-2009,2023-2024
NIC-2008,Manufacture of furniture,2008-2009,2023-2024
NIC-2008,Manufacture of games and toys,2008-2009,2023-2024
NIC-2008,Manufacture of glass and glass products,2008-2009,2023-2024
NIC-2008,Manufacture of grain mill products,2008-2009,2023-2024
NIC-2008,Manufacture of imitation jewellery and related articles,2008-2009,2023-2024
NIC-2008,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2008-2009,2023-2024
NIC-2008,Manufacture of jewellery and related articles,2008-2009,2023-2024
NIC-2008,Manufacture of knitted and crocheted apparel,2008-2009,2023-2024
NIC-2008,Manufacture of knitted and crocheted fabrics,2008-2009,2023-2024
NIC-2008,Manufacture of lifting and handling equipment,2008-2009,2023-2024
NIC-2008,"Manufacture of luggage, handbags and the like, saddlery and harness",2008-2009,2023-2024
NIC-2008,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",2008-2009,2023-2024
NIC-2008,"Manufacture of machinery for food, beverage and tobacco processing",2008-2009,2023-2024
NIC-2008,Manufacture of machinery for metallurgy,2008-2009,2023-2024
NIC-2008,"Manufacture of machinery for mining, quarrying and construction",2008-2009,2023-2024
NIC-2008,"Manufacture of machinery for textile, apparel and leather production",2008-2009,2023-2024
NIC-2008,"Manufacture of made-up textile articles, except apparel",2008-2009,2023-2024
NIC-2008,Manufacture of magnetic and optical media,2008-2009,2023-2024
NIC-2008,Manufacture of malt liquors and malt,2008-2009,2023-2024
NIC-2008,Manufacture of man-made fibres,2008-2009,2023-2024
NIC-2008,"Manufacture of measuring, testing, navigating and control equipment",2008-2009,2023-2024
NIC-2008,Manufacture of medical and dental instruments and supplies,2008-2009,2023-2024
NIC-2008,Manufacture of metal-forming machinery and machine tools,2008-2009,2023-2024
NIC-2008,Manufacture of motor vehicles,2008-2009,2023-2024
NIC-2008,Manufacture of motorcycles,2008-2009,2023-2024
NIC-2008,Manufacture of musical instruments,2008-2009,2023-2024
NIC-2008,Manufacture of office machinery and equipment,2008-2009,2023-2024
NIC-2008,Manufacture of optical instruments and equipment,2008-2009,2023-2024
NIC-2008,Manufacture of other articles of paper and paperboard,2008-2009,2023-2024
NIC-2008,Manufacture of other chemical products n.e.c.,2008-2009,2023-2024
NIC-2008,Manufacture of other electrical equipment,2008-2009,2023-2024
NIC-2008,Manufacture of other electronic and electric wires and cables,2008-2009,2023-2024
NIC-2008,Manufacture of other fabricated metal products n.e.c.,2008-2009,2023-2024
NIC-2008,Manufacture of other food products n.e.c.,2008-2009,2023-2024
NIC-2008,Manufacture of other general-purpose machinery,2008-2009,2023-2024
NIC-2008,Manufacture of other non-metallic mineral products n.e.c.,2008-2009,2023-2024
NIC-2008,Manufacture of other porcelain and ceramic products,2008-2009,2023-2024
NIC-2008,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",2008-2009,2023-2024
NIC-2008,"Manufacture of other pumps, compressors, taps and valves",2008-2009,2023-2024
NIC-2008,Manufacture of other rubber products,2008-2009,2023-2024
NIC-2008,Manufacture of other special-purpose machinery,2008-2009,2023-2024
NIC-2008,Manufacture of other textiles n.e.c.,2008-2009,2023-2024
NIC-2008,Manufacture of other transport equipment n.e.c.,2008-2009,2023-2024
NIC-2008,"Manufacture of ovens, furnaces and furnace burners",2008-2009,2023-2024
NIC-2008,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2008-2009,2023-2024
NIC-2008,Manufacture of parts and accessories for motor vehicles,2008-2009,2023-2024
NIC-2008,Manufacture of pesticides and other agrochemical products,2008-2009,2023-2024
NIC-2008,Manufacture of plastics and synthetic rubber in primary forms,2008-2009,2023-2024
NIC-2008,Manufacture of plastics products,2008-2009,2023-2024
NIC-2008,Manufacture of power-driven hand tools,2008-2009,2023-2024
NIC-2008,Manufacture of prepared animal feeds,2008-2009,2023-2024
NIC-2008,Manufacture of prepared meals and dishes,2008-2009,2023-2024
NIC-2008,"Manufacture of pulp, paper and paperboard",2008-2009,2023-2024
NIC-2008,Manufacture of railway locomotives and rolling stock,2008-2009,2023-2024
NIC-2008,Manufacture of refined petroleum products,2008-2009,2023-2024
NIC-2008,Manufacture of refractory products,2008-2009,2023-2024
NIC-2008,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,2008-2009,2023-2024
NIC-2008,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2008-2009,2023-2024
NIC-2008,Manufacture of soft drinks; production of mineral waters and other bottled waters,2008-2009,2023-2024
NIC-2008,Manufacture of sports goods,2008-2009,2023-2024
NIC-2008,Manufacture of starches and starch products,2008-2009,2023-2024
NIC-2008,Manufacture of structural metal products,2008-2009,2023-2024
NIC-2008,Manufacture of sugar,2008-2009,2023-2024
NIC-2008,"Manufacture of tanks, reservoirs and containers of metal",2008-2009,2023-2024
NIC-2008,Manufacture of tobacco products,2008-2009,2023-2024
NIC-2008,Manufacture of vegetable and animal oils and fats,2008-2009,2023-2024
NIC-2008,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and board",2008-2009,2023-2024
NIC-2008,Manufacture of watches and clocks,2008-2009,2023-2024
NIC-2008,Manufacture of weapons and ammunition,2008-2009,2023-2024
NIC-2008,"Manufacture of wearing apparel, except fur apparel",2008-2009,2023-2024
NIC-2008,Manufacture of wines,2008-2009,2023-2024
NIC-2008,Manufacture of wiring devices,2008-2009,2023-2024
NIC-2008,Manufacture of wooden containers,2008-2009,2023-2024
NIC-2008,materials recovery,2008-2009,2023-2024
